codigo_formateado;Descripcion;tipo;tipo_material;acabado;color_real;longitud;Stock;Pedidos
564012.214;Hoja Z60 Euro-Design 60 Mar-Black S/Black S Pres. 5,8 m.;Hoja;Euro-Design 60;Black S;Black S;5.8;0.0;0.0
564012.215;Hoja Z60 Euro-Design 60 Bco-Bco/Black S Pres. 5,8m.;Hoja;Euro-Design 60;Black S;Black S;5.8;0.0;0.0
564012.216;Hoja Z60 Euro-Design 60 Bco-Black S/Bco Pres. 5,8m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.207;Hoja Z60 Euro-Design 60 Mar-Nut/Nut Pres. 5,8 m.;Hoja;Euro-Design 60;Nut;Nutmeg;5.8;0.0;0.0
564012.206;Hoja Z60 Euro-Design 60 Bco-Bco/Nut Pres. 5,8m.;Hoja;Euro-Design 60;Nut;Nutmeg;5.8;0.0;0.0
564012.218;Hoja Z60 Euro-Design 60 Bco-Nut/Bco Pres. 5,8m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.208;Hoja Z60 Euro-Design 60 Mar-Qrz/Qrz Pres. 5,8 m.;Hoja;Euro-Design 60;Qrz;Qrz;5.8;0.0;0.0
564012.209;Hoja Z60 Euro-Design 60 Bco-Bco/Qrz Pres. 5,8m.;Hoja;Euro-Design 60;Qrz;Qrz;5.8;0.0;0.0
564012.210;Hoja Z60 Euro-Design 60 Bco-Qrz/Bco Pres. 5,8m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
500393.100;Hoja T79 Apert. exterior Euro-Design 60 Blanco Pres. 5,8 m.;Hoja;Euro-Design 60;Blanco;Blanco;5.8;0.0;0.0
510393.002;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Rob/Rob Pres. 5,8 m;Hoja;;Rob;Roble;5.8;0.0;0.0
510393.010;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Rob Pres. 5,8 m.;Hoja;;Rob;Roble;5.8;0.0;0.0
510393.011;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Rob/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.056;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Ant L/Ant L Pres. 5,8 m.;Hoja;;Ant L;Ant L;5.8;0.0;0.0
510393.057;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Ant L Pres. 5,8 m.;Hoja;;Ant L;Ant L;5.8;0.0;0.0
510393.058;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Ant L/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.348;Hoja T79 Apert. exterior Euro-Desing 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Hoja;;BBrow;BBrow;5.8;0.0;0.0
510393.016;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/B.Brow Pres. 5,8 m.;Hoja;;BBrow;BBrow;5.8;0.0;0.0
510393.017;Hoja T79 Apert. exterior Euro-Desing 60 Bco-B.Brow/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.267;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Nog/Nog Pres. 5,8 m.;Hoja;;Nog;Nogal;5.8;0.0;0.0
510393.337;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Nog Pres. 6 m.;Hoja;;Nog;Nogal;6.0;0.0;0.0
510393.018;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Nog/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.005;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Win/Win Pres. 5,8 m.;Hoja;;Win;Winchester;5.8;0.0;0.0
510393.022;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Win Pres. 5,8 m.;Hoja;;Win;Winchester;5.8;0.0;0.0
510393.023;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Win/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.264;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Mon/Mon Pres. 5,8 m.;Hoja;;Mon;Monument;5.8;0.0;0.0
510393.024;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Mon Pres. 5,8 m.;Hoja;;Mon;Monument;5.8;0.0;0.0
510393.025;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Mon/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.006;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Hoja;;Negro M;Negro M;5.8;0.0;0.0
510393.026;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Negro M. Pres. 5,8 m.;Hoja;;Negro M;Negro M;5.8;0.0;0.0
510393.028;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Negro M./Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.007;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Turn/Turn Pres. 5,8 m.;Hoja;;Turn;Turner;5.8;0.0;0.0
510393.029;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Turn Pres. 5,8 m.;Hoja;;Turn;Turner;5.8;0.0;0.0
510393.030;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Turn/Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
510393.031;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Hoja;;Sheff A;Sheffield;5.8;0.0;0.0
510393.032;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Hoja;;Sheff A;Sheffield;5.8;0.0;0.0
510393.033;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Sheff A./Bco Pres. 5,8 m.;Hoja;;Bco;Blanco;5.8;0.0;0.0
